index,speaker,speech_name,URL
1,"Martin Luther King, Jr. ",I Have A Dream,http://www.americanrhetoric.com/speeches/mlkihaveadream.htm
2,John Fitzgerald Kennedy,Inaugural Address,http://www.americanrhetoric.com/speeches/jfkinaugural.htm
3,Franklin Delano Roosevelt,First Inaugural Address,http://www.americanrhetoric.com/speeches/fdrfirstinaugural.html
4,Franklin Delano Roosevelt,Pearl Harbor Address to the Nation,http://www.americanrhetoric.com/speeches/fdrpearlharbor.htm
5,Barbara Charline Jordan,1976 DNC Keynote Address,http://www.americanrhetoric.com/speeches/barbarajordan1976dnc.html
6,Richard Milhous Nixon,Checkers,http://www.americanrhetoric.com/speeches/richardnixoncheckers.html
7,Ronald Wilson Reagan,Shuttle Challenger Disaster Address,http://www.americanrhetoric.com/speeches/ronaldreaganchallenger.htm
8,John Fitzgerald Kennedy,Houston Ministerial Association Speech,http://www.americanrhetoric.com/speeches/jfkhoustonministers.html
9,Lyndon Baines Johnson,We Shall Overcome,http://www.americanrhetoric.com/speeches/lbjweshallovercome.htm
10,Mario Matthew Cuomo,1984 DNC Keynote Address,http://www.americanrhetoric.com/speeches/mariocuomo1984dnc.htm
11,Jesse Louis Jackson,1984 DNC Address,http://www.americanrhetoric.com/speeches/jessejackson1984dnc.htm
12,Barbara Charline Jordan,Statement on the Articles of Impeachment,http://www.americanrhetoric.com/speeches/barbarajordanjudiciarystatement.htm
13,(General) Douglas MacArthur,Farewell Address to Congress,http://www.americanrhetoric.com/speeches/douglasmacarthurfarewelladdress.htm
14,"Martin Luther King, Jr. ",I've Been to the Mountaintop,http://www.americanrhetoric.com/speeches/mlkivebeentothemountaintop.htm
15,Theodore Roosevelt,The Man with the Muck-rake,http://www.americanrhetoric.com/speeches/teddyrooseveltmuckrake.htm
16,Robert Francis Kennedy,Remarks on the Assassination of MLK,http://www.americanrhetoric.com/speeches/rfkonmlkdeath.html
17,Dwight David Eisenhower,Farewell Address,http://www.americanrhetoric.com/speeches/dwightdeisenhowerfarewell.html
18,Thomas Woodrow Wilson,War Message,http://www.americanrhetoric.com/speeches/wilsonwarmessage.htm
19,(General) Douglas MacArthur,"Duty, Honor, Country",http://www.americanrhetoric.com/speeches/douglasmacarthurthayeraward.html
20,Richard Milhous Nixon,The Great Silent Majority,http://www.americanrhetoric.com/speeches/richardnixongreatsilentmajority.html
21,John Fitzgerald Kennedy,Ich bin ein Berliner,http://www.americanrhetoric.com/speeches/jfkberliner.html
22,Clarence Seward Darrow,Mercy for Leopold and Loeb,http://www.americanrhetoric.com/speeches/cdarrowpleaformercy.htm
23,Russell H. Conwell,Acres of Diamonds,http://www.americanrhetoric.com/speeches/rconwellacresofdiamonds.htm
24,Ronald Wilson Reagan,A Time for Choosing,http://www.americanrhetoric.com/speeches/ronaldreaganatimeforchoosing.htm
25,Huey Pierce Long,Every Man a King,http://www.americanrhetoric.com/speeches/hueyplongking.htm
26,Anna Howard Shaw,The Fundamental Principle of a Republic,http://www.americanrhetoric.com/speeches/annahowardshawprinciplerepublic.htm
27,Franklin Delano Roosevelt,The Arsenal of Democracy,http://www.americanrhetoric.com/speeches/fdrarsenalofdemocracy.html
28,Ronald Wilson Reagan,The Evil Empire,http://www.americanrhetoric.com/speeches/ronaldreaganevilempire.htm
29,Ronald Wilson Reagan,First Inaugural Address,http://www.americanrhetoric.com/speeches/ronaldreagandfirstinaugural.html
30,Franklin Delano Roosevelt,First Fireside Chat,http://www.americanrhetoric.com/speeches/fdrfirstfiresidechat.html
31,Harry S. Truman,The Truman Doctrine,http://www.americanrhetoric.com/speeches/harrystrumantrumandoctrine.html
32,William Cuthbert Faulkner,Nobel Prize Acceptance Speech,http://www.americanrhetoric.com/speeches/williamfaulknernobelprizeaddress.htm
33,Eugene Victor Debs,1918 Statement to the Court,http://www.americanrhetoric.com/speeches/eugenedebspleatocourt1918.htm
34,Hillary Diane Rodham Clinton,Women's Rights are Human Rights,http://www.americanrhetoric.com/speeches/hillaryclintonbeijingspeech.htm
35,Dwight David Eisenhower,Atoms for Peace,http://www.americanrhetoric.com/speeches/dwightdeisenhoweratomsforpeace.html
36,John Fitzgerald Kennedy,American University Commencement Address,http://www.americanrhetoric.com/speeches/jfkamericanuniversityaddress.html
37,Dorothy Ann Willis Richards,1988 DNC Keynote Address,http://www.americanrhetoric.com/speeches/annrichards1988dnc.htm
38,Richard Milhous Nixon,Resignation Speech,http://www.americanrhetoric.com/speeches/richardnixonresignationspeech.html
39,Thomas Woodrow Wilson,The Fourteen Points,http://www.americanrhetoric.com/speeches/wilsonfourteenpoints.htm
40,Franklin Delano Roosevelt,The Four Freedoms,http://www.americanrhetoric.com/speeches/fdrthefourfreedoms.htm
41,"Martin Luther King, Jr.",A Time to Break Silence,http://www.americanrhetoric.com/speeches/mlkatimetobreaksilence.htm
42,William Jennings Bryan,Against Imperialism,http://www.americanrhetoric.com/speeches/wjbryanimperialism.htm
43,Barbara Pierce Bush,1990 Wellesley College Commencement Address,http://www.americanrhetoric.com/speeches/barbarabushwellesleycommencement.htm
44,John Fitzgerald Kennedy,Civil Rights Address,http://www.americanrhetoric.com/speeches/jfkcivilrights.htm
45,John Fitzgerald Kennedy,Cuban Missile Crisis Address,http://www.americanrhetoric.com/speeches/jfkcubanmissilecrisis.html
46,Spiro Theodore Agnew,Television News Coverage,http://www.americanrhetoric.com/speeches/spiroagnewtvnewscoverage.htm
47,Jesse Louis Jackson,1988 DNC Address,http://www.americanrhetoric.com/speeches/jessejackson1988dnc.htm
48,Mary Fisher,A Whisper of AIDS,http://www.americanrhetoric.com/speeches/maryfisher1992rnc.html
49,Lyndon Baines Johnson,The Great Society,http://www.americanrhetoric.com/speeches/lbjthegreatsociety.htm
50,George Catlett Marshall,The Marshall Plan,http://www.americanrhetoric.com/speeches/georgecmarshall.html
51,Edward Moore Kennedy,Truth and Tolerance in America,http://www.americanrhetoric.com/speeches/tedkennedytruth&tolerance.htm
52,Adlai Ewing Stevenson,Presidential Nomination Acceptance Address,http://www.americanrhetoric.com/speeches/adlaistevenson1952dnc.html
53,Anna Eleanor Roosevelt,The Struggle for Human Rights,http://www.americanrhetoric.com/speeches/eleanorroosevelt.htm
54,Geraldine Anne Ferraro,Vice-Presidential Nomination Acceptance Speech,http://www.americanrhetoric.com/speeches/gferraroacceptanceaddress.html
55,Robert Marion La Follette,Free Speech in Wartime,http://www.americanrhetoric.com/speeches/robertlafollettefreespeecninwartime.htm
56,Ronald Wilson Reagan,40th Anniversary of D-Day Address,http://www.americanrhetoric.com/speeches/ronaldreaganddayaddress.html
57,Edward Moore Kennedy,Chappaquiddick,http://www.americanrhetoric.com/speeches/tedkennedychappaquiddick.htm
58,John Llewellyn Lewis,The Rights of Labor,http://www.americanrhetoric.com/speeches/johnlewisrightsoflabor.htm
59,Barry Morris Goldwater,Presidential Nomination Acceptance Address,http://www.americanrhetoric.com/speeches/barrygoldwater1964rnc.htm
60,Stokely Carmichael,Black Power,http://www.americanrhetoric.com/speeches/stokelycarmichaelblackpower.html
61,Hubert Horatio Humphrey,1948 DNC Address,http://www.americanrhetoric.com/speeches/huberthumphey1948dnc.html
62,Emma Goldman,Address to the Jury,http://www.americanrhetoric.com/speeches/emmagoldmanjuryaddress.htm
63,Carrie Chapman Catt,The Crisis,http://www.americanrhetoric.com/speeches/carriechapmancattthecrisis.htm
64,Newton Norman Minow,Television and the Public Interest,http://www.americanrhetoric.com/speeches/newtonminow.htm
65,Edward Moore Kennedy,Eulogy for Robert Francis Kennedy,http://www.americanrhetoric.com/speeches/ekennedytributetorfk.html
66,Anita Faye Hill,Statement to the Senate Judiciary Committee,http://www.americanrhetoric.com/speeches/anitahillsenatejudiciarystatement.htm
67,Thomas Woodrow Wilson,League of Nations Final Address,http://www.americanrhetoric.com/speeches/wilsonleagueofnations.htm
68,"Henry Louis (""Lou"") Gehrig",Farewell to Baseball Address,http://www.americanrhetoric.com/speeches/lougehrigfarewelltobaseball.htm
